stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
2235,2235,SBD Pennsylvania past Porter St,N PENNSYLVANIA AVE & PORTER ST,42.745276,-84.537861,,,,,,0
2240,2240,EBD Shiawassee past MLK,W SHIAWASSEE ST & N BUTLER BLVD,42.737313,-84.566884,,,,,,0
2243,2243,SBD Jenison past Shiawassee St,N JENISON AVE & W IONIA ST,42.737019,-84.57283,,,,,,0
2249,2249,SBD Everett past W Hillsdale St,EVERETT DR & W KALAMAZOO ST,42.727302,-84.577083,,,,,,0
2292,2292,NBD Everett past W St Joseph St,EVERETT DR & W SAINT JOSEPH ST,42.727168,-84.576973,,,,,,0
2305,2305,SBD Cleo before Saginaw,N VERLINDEN AVE & W SAGINAW ST,42.74127,-84.577202,,,,,,0
2338,2338,EBD Saginaw past Bartlett St,W SAGINAW ST & BARTLETT ST,42.740891,-84.569654,,,,,,0
2340,2340,EBD Saginaw before Wisconsin Ave,W SAGINAW ST & WISCONSIN AVE,42.740883,-84.563332,,,,,,0
2348,2348,EBD Saginaw past N Foster Ave,E SAGINAW ST & N FOSTER AVE,42.740854,-84.517286,,,,,,0
2349,2349,EBD Saginaw past Kipling Blvd,E SAGINAW ST & KIPLING BLVD,42.740844,-84.51462,,,,,,0
2351,2351,NBD Chester past E Grand River Ave,CHESTER RD & E GRAND RIVER AVE,42.743087,-84.5113,,,,,,0
2352,2352,NBD Chester past Covington Ct,CHESTER RD & COVINGTON CT,42.744537,-84.511225,,,,,,0
2353,2353,NBD Chester past Woodruff Ave,CHESTER RD & HOPKINS AVE,42.746729,-84.511259,,,,,,0
2365,2365,WBD Lake Lansing past Coolidge Rd,W LAKE LANSING RD & WEST RD,42.76081,-84.504176,,,,,,0
2377,2377,SBD Chester past Hopkins Ave,CHESTER RD & Hopkins Street,42.747947,-84.511393,,,,,,0
2378,2378,SBD Chester past Woodruff Ave,CHESTER RD & WOODRUFF AVE,42.746372,-84.511395,,,,,,0
2384,2384,WBD Grand River past Fairview,E GRAND RIVER AVE & N FOSTER AVE,42.743317,-84.521596,,,,,,0
2385,2385,WBD Grand River past Wood St,E GRAND RIVER AVE & WOOD ST,42.743283,-84.524004,,,,,,0
2390,2390,SBD Capitol past W Oakland Ave,N CAPITOL AVE & W OAKLAND AVE,42.743162,-84.553822,,,,,,0
2395,2395,NBD Turner past Grand River Ave,TURNER ST & CLINTON ST,42.747876,-84.549506,,,,,,0
2408,2408,WBD Delta River past Benton Blvd,DELTA RIVER DR & WESTBURY RD,42.76256,-84.583403,,,,,,0
2409,2409,WBD Delta River  before Leon Ave,DELTA RIVER DR & Leon Street,42.761441,-84.587655,,,,,,0
2410,2410,WBD Delta Riverpast Northwest Ave,DELTA RIVER DR & Northwest,42.760618,-84.591465,,,,,,0
