route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
08,16,3030149,8 PENNSYLVANIA - HOLT,,0,395740,42926,0,0
08,16,3030150,8 PENNSYLVANIA - HOLT,,0,395739,42926,0,0
08,16,3030151,8 PENNSYLVANIA - HOLT,,0,395741,42926,0,0
08,16,3030159,8 PENNSYLVANIA - HOLT,,0,395743,42926,0,0
08,16,3030160,8 PENNSYLVANIA - HOLT,,0,395740,42926,0,0
08,16,3030161,8 PENNSYLVANIA - HOLT,,0,395739,42926,0,0
08,16,3030162,8 PENNSYLVANIA - HOLT,,0,395741,42926,0,0
08,16,3030163,8 PENNSYLVANIA - HOLT,,0,395743,42926,0,0
08,16,3030164,8 PENNSYLVANIA - HOLT,,0,395740,42926,0,0
08,16,3030165,8 PENNSYLVANIA - HOLT,,0,395739,42926,0,0
08,16,3030166,8 PENNSYLVANIA - HOLT,,0,395741,42926,0,0
08,16,3030167,8 PENNSYLVANIA - HOLT,,0,395743,42926,0,0
08,16,3030168,8 PENNSYLVANIA - HOLT,,0,395744,42926,0,0
08,16,3030135,8 PENNSYLVANIA - HOLT,,0,395739,42926,0,0
08,16,3030141,8 PENNSYLVANIA - HOLT,,0,395741,42926,0,0
08,16,3030155,8 PENNSYLVANIA - HOLT,,0,395740,42926,0,0
08,16,3030156,8 PENNSYLVANIA - HOLT,,0,395500,42926,0,0
08,16,3030157,8 PENNSYLVANIA - HOLT,,0,395741,42926,0,0
08,16,3030153,8 PENNSYLVANIA - HOLT,,0,395740,42926,0,0
08,16,3030142,8 PENNSYLVANIA - HOLT,,0,395741,42926,0,0
08,16,3030152,8 PENNSYLVANIA - HOLT,,0,395740,42926,0,0
08,16,3030169,8 PENNSYLVANIA - CAPITOL LOOP - DOWNTOWN,,1,395740,42931,0,0
08,16,3030170,8 PENNSYLVANIA - CAPITOL LOOP - DOWNTOWN,,1,395739,42931,0,0
08,16,3030174,8 PENNSYLVANIA - CAPITOL LOOP - DOWNTOWN,,1,395741,42931,0,0
08,16,3030175,8 PENNSYLVANIA - CAPITOL LOOP - DOWNTOWN,,1,395740,42931,0,0
08,16,3030176,8 PENNSYLVANIA - CAPITOL LOOP - DOWNTOWN,,1,395739,42931,0,0
08,16,3030177,8 PENNSYLVANIA - DOWNTOWN,,1,395741,42928,0,0
08,16,3030178,8 PENNSYLVANIA - DOWNTOWN,,1,395740,42928,0,0
08,16,3030179,8 PENNSYLVANIA - DOWNTOWN,,1,395739,42928,0,0
08,16,3030180,8 PENNSYLVANIA - DOWNTOWN,,1,395741,42928,0,0
08,16,3030181,8 PENNSYLVANIA - DOWNTOWN,,1,395742,42928,0,0
08,16,3030182,8 PENNSYLVANIA - DOWNTOWN,,1,395740,42928,0,0
08,16,3030183,8 PENNSYLVANIA - DOWNTOWN,,1,395739,42928,0,0
08,16,3030184,8 PENNSYLVANIA - DOWNTOWN,,1,395741,42928,0,0
08,16,3030185,8 PENNSYLVANIA - DOWNTOWN,,1,395740,42928,0,0
08,16,3030186,8 PENNSYLVANIA - DOWNTOWN,,1,395739,42928,0,0
08,16,3030188,8 PENNSYLVANIA - DOWNTOWN,,1,395741,42928,0,0
08,16,3030189,8 PENNSYLVANIA - DOWNTOWN,,1,395743,42928,0,0
08,16,3030190,8 PENNSYLVANIA - DOWNTOWN,,1,395740,42928,0,0
08,16,3030191,8 PENNSYLVANIA - DOWNTOWN,,1,395739,42928,0,0
08,16,3030192,8 PENNSYLVANIA - DOWNTOWN,,1,395741,42928,0,0
08,16,3030193,8 PENNSYLVANIA - DOWNTOWN,,1,395743,42928,0,0
08,16,3030194,8 PENNSYLVANIA - DOWNTOWN,,1,395740,42928,0,0
08,16,3030195,8 PENNSYLVANIA - DOWNTOWN,,1,395739,42928,0,0
08,16,3030196,8 PENNSYLVANIA - DOWNTOWN,,1,395741,42928,0,0
08,16,3030197,8 PENNSYLVANIA - DOWNTOWN,,1,395743,42928,0,0
08,16,3030198,8 PENNSYLVANIA - DOWNTOWN,,1,395744,42928,0,0
08,16,3030171,8 PENNSYLVANIA - DOWNTOWN,,1,395739,42928,0,0
08,16,3030172,8 PENNSYLVANIA - DOWNTOWN,,1,395741,42928,0,0
08,16,3030199,8 PENNSYLVANIA - DOWNTOWN,,1,395740,42928,0,0
08,16,3030200,8 PENNSYLVANIA - DOWNTOWN,,1,395500,42928,0,0
08,16,3030201,8 PENNSYLVANIA - DOWNTOWN,,1,395741,42928,0,0
08,16,3030202,8 PENNSYLVANIA - DOWNTOWN,,1,395740,42928,0,0
08,16,3030173,8 MEIJER S PENN,,1,395741,42930,0,0
08,16,3030187,8 PENNSYLVANIA - DOWNTOWN,,1,395740,42928,0,0
09,16,3030696,9 S MARTIN L KING - HILL VOC CTR - S PENN MEIJER,,0,395791,42934,0,0
09,16,3030683,9 S MARTIN L KING - HILL VOC CTR - S PENN MEIJER,,0,395787,42934,0,0
09,16,3030684,9 S MARTIN L KING - HILL VOC CTR - S PENN MEIJER,,0,395788,42934,0,0
09,16,3030690,9 S MARTIN L KING - HILL VOC CTR - S PENN MEIJER,,0,395791,42934,0,0
